,Dzyga BOX,,,,,,
№ п/п,Назва,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Канапе з курячим філе та салатом Чука,50,5,,,,🥜 Горіхи та продукти з них
,"Канапе з курячою кулькою, сиром та шинкою",50,5,,,,
,"Канапе з курячим напівкопченим філе, маринованою цибулькою та сиром Брі у брусничному соусі",55,5,,,,
18,Бокс із тарталетками,630,,"1 916,00 грн.","0,00 грн.",,
,Тарталетка з куркою та в'яленими томатами,30,7,,,,
,"Тарталетка з інжиром, сиром Горгонзолою та грецькими горіхами",30,7,,,,🥜 Горіхи та продукти з них
,"Тарталетка з хамоном, сиром Брі та грушею",30,7,,,,🍯 Мед та продукти з нього
19,Бокс зі свіжими овочами,1100,,"1 229,00 грн.","0,00 грн.",,
,Помідори чері,250,,,,,
,Огірок,300,,,,,
,Перець болгарський,200,,,,,
,Морква,200,,,,,
,Стебло селери,70,,,,,
,Салат лолла росса,50,,,,,
,Зелень,30,,,,,
20,Бокс із вегетаріанськими закусками,875,,"1 790,00 грн.","0,00 грн.",,
,Рулет із сиру сулугуні з овочами,60,5,,,,
,"Рулетик з баклажану з горіховой пасти, аджики та зерен гранату  (Листя кінзи, баклажани, волоський горіх, часник, петрушка, аджика, вершкове масло, сіль, перець, зерна гранату) ",40,5,,,,"🥜 Горіхи, 🌰 Часник та продукти з них"
,"Рулетик із цукіні та фетою ( цукіні, сир Фелата, шпинат, часник, орегано, сіль, перець)",25,5,,,,🌰 Часник та продукти з нього
,Грибний мус із тофу в тарталетці,50,5,,,,
21,М'ясні солоні профітролі,1125,,"1 630,00 грн.","0,00 грн.",,
,"Профітроль з ніжним кремом з американської гірчиці, хамоном Серрано та слайсом огірка",45,5,,,,
,"Профітроль з вяленою Брезаолою, каперсами та кремом з рожевого хрону",45,5,,,,
,Профітроль з м'ясом Коппа в хроні та крем сирі,45,5,,,,
,"Профітроль з качиною грудкою, яблучним чатні та солодким соусом чілі",45,5,,,,
,"Профітроль з телятиною, болгарським перцем та вершковим хроном",45,5,,,,
22,Рибні солоні профітролі,1000,,"2 200,00 грн.","0,00 грн.",,
,"Профітроль з лососем, буряком та свіжим огірком",40,5,,,,
,"Профітроль з креветкою, гуакамоле з авокадо та помідорами чері",40,5,,,,
,"Профітроль з кунжутним кремом, тунцем в хрусткій скоринці та Аспарагусом",40,5,,,,
,"Профітроль з маринованими мідіями, соусом Унагі та гірчицею в зернах",40,5,,,,🌰 Часник та продукти з нього
,"Профітроль з масляною рибою,кремом зі свіжого огірка та Аспарагусом",40,5,,,,
23,Бокс із ролами з млинців,2100,,"2 723,00 грн.","0,00 грн.",,
,Роли зі шпинатного млинця з лососем,50,12,,,,
,Роли з млинців з м'ясом сніжного краба,50,12,,,,
,Роли з млинців з консервованим тунцем та помідором Чері,50,6,,,,
,Роли з млинців з консервованим тунцем та корнішоном,50,6,,,,
,Роли з млинців з консервованим тунцем та свіжим огірком,50,6,,,,
24,Бокс із млинцевих мішечків,1740,,"1 634,00 грн.","0,00 грн.",,
,Млинцеві мішечки з куркою та грибами ,145,4,,,,
,Млинцеві мішечки з сиром Бринза та зеленню ,145,4,,,,
,Млинцеві мішечки зі свининою та сиром Чечил,145,4,,,,
25,Бокс Український,900,,"1 150,00 грн.","0,00 грн.",,
,"Брускета з курячим паштетом, перепелиним яйцем, редискою та мікрогріном",45,4,,,,🌶️ Перець гострий та продукти з нього
,"Брускета з курячим пате, цибулевим конфітюром та журавлиною",45,4,,,,
,"Брускета з оселедцем, маринованою цибулею-шалот, редискою та гірчицею",45,4,,,,
,"Брускета з салом, копченою грудинкою, корнішоном, зеленою цибулею та хріном на чорному хлібі",45,4,,,,🌶️ Перець гострий та продукти з нього
,Брускета з ростбіфом та півсферою з буряка на ніжному кремі,45,4,,,,🌶️ Перець гострий та продукти з нього
26,Осінній бокс,1200,,"1 895,00 грн.","0,00 грн.",,
,Кульки з батату з індичими слайсами із сливовим соусом BBQ,100,4,,,,🌰 Часник та продукти з нього
,Ростбіф з кульками буряка із соусом Сацебелі,100,4,,,,🌰 Часник та продукти з нього
,Печене качине філе з кульками гарбуза із журавлинним соусом,100,4,,,,"🌰 Часник, 🌶️ Перець гострий та продукти з них"
27,Бокс сезонних закусок,975,,"1 749,00 грн.","0,00 грн.",,
,"Брускета з рваною телятиною, чатні з груші та журавлиною",55,5,,,,
,"Тарт з вершковим гарбузовим мусом, індичкою, дорблю та гарбузовим насінням",45,5,,,,
,"Тарт з мусом печеного пряного буряка, фетою та крихтою карамелізованого горіха",45,5,,,,🥜 Горіхи та продукти з них
,"Брускета з качкою конфі, сливовим соусом та бататом",50,5,,,,🌰 Часник та продукти з нього
,Бокси з брускетами,,,,,,
1,Gold box,1000,,"1 964,00 грн.","0,00 грн.",,
,"Брускета із запеченою грушею, сиром брі та малиновий гель.",50,10,,,,
,"Брускета з домашньою фетою, томатами чері та королівською креветкою",50,10,,,,
2,Sea box,1100,,"2 699,00 грн.","0,00 грн.",,
,Брускетта з ніжним лососем та молекулярним лимонним огірком,55,10,,,,
,"Брускетта з тунцем, авокадо та соусом песто",55,10,,,,
3,Gourmet box,1100,,"2 111,00 грн.","0,00 грн.",,
,"Брускетта з качиним магре, грушею конфі та малиновим гелем.",55,10,,,,
,Брускетта з консервованим тунцем і томатом конфі.,55,10,,,,
4,Farmer box,1000,,"2 062,00 грн.","0,00 грн.",,
,"Брускетта з телятиною су-від, соусом тонато та лист фризе",50,10,,,,
,Брускета капрезе ,50,10,,,,
5,Vega box,950,,"2 111,00 грн.","0,00 грн.",,
,"Брускета з мусом авокадо, страчателлою та чері",45,10,,,,
,"Брускета з сирним кремом з лайма, манго та маринованими артишоками",50,10,,,,
6,Tasty box,900,,"2 290,00 грн.","0,00 грн.",,
,"Брускета з ростбіфом, айолі м'ята та в'яленим томатом",45,10,,,,
,Брускета з курячим пате та цибулевим конфетюром,45,10,,,,🍯 Мед та продукти з нього
7,Honey box,1000,,"2 290,00 грн.","0,00 грн.",,
,"Брускета з пармезаном, виноградом Кардинал та медом",50,10,,,,🍯 Мед та продукти з нього
,"Брускета з маринованим персиком, прошуто та мигдалем",50,10,,,,
,Антипасто,,,,,,
1,Антипасто сет 1,1100,,"2 453,00 грн.","0,00 грн.",,
,Салямі,140,,,,,
,Пармський окіст,140,,,,,
,Ковбаски в'ялені,140,,,,,
,Ковбаски міні,120,,,,,
,Ковбаски,140,,,,,
,Хлібці,70,,,,,
,Грісіні,70,,,,,
,Оливки в'ялені/класичні 50/50,100,,,,,
,В'ялений томат,100,,,,,
,Томати чері,80,,,,,
2,Антипасто сет 2,1100,,"2 340,00 грн.","0,00 грн.",,
,Пармезан,120,,,,,
,Сир Брі,120,,,,,
,Горгонзола,120,,,,,
,Ементаль,120,,,,,
,Оливки,100,,,,,
,Томати чері,50,,,,,
,В'ялені томати,100,,,,,
,Інжир,100,,,,,
,Хлібці,70,,,,,
,Грісіні,70,,,,,
,Мед,70,,,,,🍯 Мед та продукти з нього
,Волоський горіх,50,,,,,🥜 Горіхи та продукти з них
,Базизік,10,,,,,
3,Бокс антипасто по-українськи,1620,,"1 780,00 грн.","0,00 грн.",,
,Буженина маринована печена,370,1,,,,🌰 Часник та продукти з нього
,Колечко ковбаски печеної,150,1,,,,
,"Курячий рулет з шинкою, сиром та чорносливом",310,1,,,,
,"Куряче пате з кюлі з манго, журавлиною та розмарином",120,1,,,,
,Сало генеральське,150,1,,,,
,Сало мариноване в зелені,150,1,,,,
,Корнішони,120,1,,,,
,Маринована міні-цибулька,50,1,,,,
,Доповнення:,,,,,,
,Хрін,100,1,,,,🌰 Часник та продукти з нього
,Гірчиця,100,1,,,,🌰 Часник та продукти з нього
,Салати,,,,,,
1,Бокс із вегетаріанськими салатами,960,,"1 800,00 грн.","0,00 грн.",,
,Салат із запеченим буряком та сиром Горгонзола,80,4,,,,🍯 Мед та продукти з нього
,Салат із запеченим гарбузом та сиром Фета,80,4,,,,
,Салат із запеченою селерою та яблуком,80,4,,,,
2,Бокс із веган салатами,1200,,"2 277,00 грн.","0,00 грн.",,
,Зелений салат з авокадо з кунжунтно-імбирним соусом,100,4,,,,🌰 Часник та продукти з нього
,"Салат зі смаженими баклажанами, маринованими грибочками та болгарським перцем",100,4,,,,🌰 Часник та продукти з нього
,"Салат ""Веган"" з помідорами, стручковою квасолею, салатом Айзберг та соєвим соусом",100,4,,,,
3,Бокс із салатами,1200,,"2 224,00 грн.","0,00 грн.",,
,Салат із запеченим буряком та телятиною,100,4,,,,
,Салат із запеченим гарбузом та куркою,100,4,,,,
,Салат із запеченою селерою та качиним філе,100,4,,,,
4,Бокс із салатами 2,1380,,"1 842,00 грн.","0,00 грн.",,
,Салат з куркою каррі та руколою,110,4,,,,🍯 Мед та продукти з нього
,"Салат ""Грецький""",110,4,,,,
,"Салат ""Ломі семон"" з лососем",125,4,,,,
,Бокси із гарячими стравами,,,,,,
1,Гарячий сет з курятиною,1875,,"2 138,00 грн.","0,00 грн.",,
,Куряче м'ясо в паніровці,400,1,,,,🌰 Часник та продукти з нього
,Курячі крильця в медово-гірчичному соусі з кунжутом,425,1,,,,🍯 Мед та продукти з нього
,Міні-шашличок з курячого стегна,350,1,,,,
,Міні-шашличок з курячого стегна з базиліком та лаймом,500,1,,,,
,Доповнення:,,,,,,
,Соус лайм-базилік,100,1,,,,
,Соус блю-чіз,100,1,,,,
2,Гарячий сет зі свининою,1385,,"1 641,00 грн.","0,00 грн.",,
,Брошети зі свинячого ошийка,480,1,,,,
,Мариновані свинячі реберця в спеціях,400,1,,,,🍯 Мед та продукти з нього
,Чевапчічі зі свинини в беконі,325,1,,,,🌰 Часник та продукти з нього
