,Гарячі страви та закуски,,,,,,
№ п/п,Назва,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,,,,,,🕓 швидко втрачає свій смак/вигляд ,
,"Гарячі страви з птиці, кролика",,,,,*приготування на локації,
10,Реберця свинячі глазуровані та приготовані на гриль-решітці,200/20,,"352,00 грн.","0,00 грн.",,"🌰 Часник, 🍯 Мед та продукти з них"
11,"Вирізка свиняча, маринована та приготовлена на мангалі",100,,"289,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
12,Мариновані свинячі реберця BBQ,100,,"201,00 грн.","0,00 грн.",,"🌰 Часник, 🍯 Мед та продукти з них"
13,Рулетики зі свинячої вирізки з болгарським перцем та розмарином із соусом BBQ,120,,"298,00 грн.","0,00 грн.",,"🌰 Часник, 🍯 Мед та продукти з них"
14,Стейк із свинячої корейки на кістці з соусом Теріякі,100/25,,"301,00 грн.","0,00 грн.",,
15,Шашлик зі свинячого ошийка в маринаді з чебрецю та соусу Ткемалі,100,,"228,00 грн.","0,00 грн.",,
16,Прусське тріо з ковбасок із соусом,150/20,,"405,00 грн.","0,00 грн.",,
17,Свиняче філе в беконі зі смаженим манго гриль та капустою брокколі,150/50/20,,"719,00 грн.","0,00 грн.",,
18,Кесаділья зі свининою,300,,"527,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
19,Фахітас зі свинини,350,,"640,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
20,Корейка свиняча на кістці із соусом BBQ,100/30,,"267,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
21,"Ребра Мисливські (ребро свиняче, цибуля червона, морква, буряк столовий, гриби, квас, журавлина)",240/40,,"498,00 грн.","0,00 грн.",,
22,Стейк із свинячого ошийка з соусом Папрік (BBQ),200/30,,"483,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
23,Медальйони зі свинячої вирізки в імбирній глазурі,200,,"464,00 грн.","0,00 грн.",,
24,Мітболи в азіатському соусі (кислосолодкий),50/30,,"119,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
25,Відбивна з грибами та сиром,140,,"135,00 грн.","0,00 грн.",,
,Гарячі страви з баранини,,,,,,
1,Шашлик із баранини з соусом Ткемалі,175/25,,"458,00 грн.","0,00 грн.",,
2,Шашлик з баранини з цибулею шалот та цукіні,100,,"261,00 грн.","0,00 грн.",,
3,Шашлик з баранини маринованої в червоному вині зі спеціями на лаваші з гострим соусом,200/50/50,,"674,00 грн.","0,00 грн.",,
4,Баранина BBQ з соусом Песто та овочевою брускетою,100/75/50,,"459,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
5,Реберця ягняти мариновані в білому вині і приготовлені на грилі-решітці,200,,"686,00 грн.","0,00 грн.",,
6,Каре ягняти мариноване з помідором Чері та соусом BBQ,100/40/30,,"480,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
7,Люля-кебаб із баранини,250,,"518,00 грн.","0,00 грн.",,
,"Гарячі страви з яловичини, телятини",,,,,,
1,"Шашлик з телячої вирізки, маринованої в червоному вині, на лаваші з гострим соусом",200/50/50,,"1 005,00 грн.","0,00 грн.",,
2,Антрекот із телятини з орегано,100,,"249,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
3,Тушкована телятина в прянощах з овочами та соусом,100/50/100,,"423,00 грн.","0,00 грн.",,"🌶️ Перець гострий, 🍯 Мед та продукти з них"
4,"Телятина, маринована в йогурті з травами",150/50,,"578,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
5,"Медальйони з телятини, фламбовані із пряними травами",150/20,,"756,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
6,Медальйони з телятини в беконі BBQ,150,,"545,00 грн.","0,00 грн.",,
7,Рулетики апетитні з телятини із сиром,150,,"569,00 грн.","0,00 грн.",,
8,Медальйони з телячої вирізки у соусі Червоне вино,200,,"893,00 грн.","0,00 грн.",,
9,Рулетики з телятини з беконом з гілочкою чебрецю і соусом Демі глас,150/75,,"566,00 грн.","0,00 грн.",,
10,"Медальйони з телятини, фаршировані курячим тереном під смородиновим соусом",150/50/100,,"869,00 грн.","0,00 грн.",,
11,"Філе телятини під соусом ""Мірабо""",150/50,,"1 031,00 грн.","0,00 грн.",,
12,Люля-кебаб з телятини з овочами та соусом Аджика,100/30/30,,"275,00 грн.","0,00 грн.",,
13,"Телятина BBQ з п'яною грушею (телятина Су-від, груша, вино біле, соєвий соус, зелена цибуля)",130/30,,"480,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
14,"Стейк з телятини, фарширований Прошуто, шпинатом, болгарським перцем з оливками та сиром Пармезан",250,,"692,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
15,Антрекот із яловичини з гірчичним соусом,150/20,,"399,00 грн.","0,00 грн.",,
16,"Яловичина ""Су-Від"" із Гаспачо",200,,"453,00 грн.","0,00 грн.",,
,"Гарячі страви з риби, морепродуктів",,,,,,
1,Брошети із сьомги з вершково-ікорним соусом (2 шашлички),150/30,,"604,00 грн.","0,00 грн.",,
