,Салати,,,,,,
№ п/п,Назва,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
37,"Салат з телятини ""Су-Вид"" з огірком та морквою",75,,"104,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
38,"Салат з лосося ""Су-Вид"", руколи з горіховим соусом",75,,"227,00 грн.","0,00 грн.",,🥜 Горіхи та продукти з них
39,"Салат з куркою каррі та руколою (курка стегно, рукола, айсберг, томати чері, гриби печериці, пармезан)",75,,"104,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
40,"Ломі семон (Лосось с/с, помідор червоний, помідор жовтий, цибуля червона, цибуля зелена, перець чилі, лайм)",75,,"118,00 грн.","0,00 грн.",,🌶️ Перець гострий та продукти з нього
41,Міні шуба,120,,"110,00 грн.","0,00 грн.",,
42,Міні олів'є з куркою,120,,"120,00 грн.","0,00 грн.",,
43,Міні олів'є з креветкою,120,,"154,00 грн.","0,00 грн.",,
44,"Салат з ростбіфом, хурмою, в'яленим томатом, пармезаном і соусом Бате",75,,"240,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
45,"Зелений салат з авокадо ( мікс салату, авокадо, боби соєві, огірок, кунжутно-імбирний соус) ",75,,"182,00 грн.","0,00 грн.",,"🍯 Мед, 🌰 Часник та продукти з них"
46,"Салат з бурратою, огірком та редька (бебі шпинат, буррата, огірок, редька, помідор чері, соус песто)",75,,"192,00 грн.","0,00 грн.",ТІЛЬКИ БАНКЕТ,
47,"Салат з буряком, Фетою та манго ( мікс салату, буряк, фета, манго, помідор чері, соус манго)",75,,"149,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
48,"Салат з креветкою та помідор чері Кім-Чі ( бебі шпинат, креветка, боби соєві, чері Кім-Чі, кисло-солодкий соус)",75,,"138,00 грн.","0,00 грн.",,"🍯 Мед, 🌰 Часник, 🌶️ Перець гострий та продукти з них"
49,"Салат Цезар ( бебі Ромен, куряче філе су-від, жовтий помідор, сухарі, перепелині яйця, соус цезар)",75,,"174,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
50,Салат з буряка та бринзи,75,,"55,00 грн.","0,00 грн.",,
51,"Салат Гурман (бекон, сир Пармезан, лист салату, помідор, яйце, сухарики, соус)",75,,"69,00 грн.","0,00 грн.",,
52,"Салат Афінський (мікс салатів, помідор, огірок, стебло селери, перець болгарський, сир Фета, соус)",75,,"77,00 грн.","0,00 грн.",,
53,"Вінегрет класичний (картопля, буряк, морква, цибуля, огірок солоний, горошок, олія соняшникова, сіль, перець)",120,,"74,00 грн.","0,00 грн.",,
,Сезонні салати,,,,,,
1,"Салат з кіноа, курячого філе та мандарином",75,,"138,00 грн.","0,00 грн.",,
2,"Салат з хамоном та полуницею (мікс салатів, сир Бринза, хамон іспанський, полуниця, горіх кедровий, соус медово-гірчичний, крем-бальзамік)",75,,"124,00 грн.","0,00 грн.",,"🍯 Мед, 🥜 Горіхи  та продукти з них"
3,"Салат з гарбуза (гарбуз печений, мікс салату, насіння гарбуза, соус медово-гірчичний)",75,,"94,00 грн.","0,00 грн.",,
4,"Салат з хамоном та гарбузом (мікс салату, гарбуз печений, хамон, томат чері, насіння гарбуза, соус медово-гірчичний)",75,,"110,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
,Осіннє меню,,,,,,
1,"Салат з копченою куркою та бататом (філе куряче копчене, батат, яблуко, салат Айсберг, соус тар-тар)",75,,"64,00 грн.","0,00 грн.",,
2,"Салат з куркою су-від та печеним перцем (філе куряче копчене, перець болгарський, сир Фелата, салат Лолло Росса, олія соняшникова)",75,,"76,00 грн.","0,00 грн.",,
3,"Салат зі свинною вирізкою та бебі морквою (свинна вирізка, морква бебі, журавлина, рукола, соус манго-чилі)",75,,"108,00 грн.","0,00 грн.",,
4,"Салат з габузом, апельсином та журавлиною (гарбуз, апельсин, журавлина, рукола, мед, гірчиця, олія соняшникова, соус бальзаміко)",75,,"72,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
5,"Буряковий салат (буряк по-корейськи, чорнослив, салат Лолло Росса, сметана, часник)",75,,"50,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
,Тематичні закуски : Гавайський стиль,,,,,,
1,"Салат оаху. Легкий та смачний мікс дикого тунця, томатів черрі, вершкового сиру, горіхів та хрусткого салату. Заправимо на Ваш смак.",75,,"105,00 грн.","0,00 грн.",,
2,"Салат з креветками. Хрусткий айсберг та мікс салатів в поєднанні з тигровими креветками, соковитим манго, томатами черрі, вершковим сиром та мікрогріном. Заправляється олівковою олією.",75,,"163,00 грн.","0,00 грн.",,
