,Канапе/шпажки,,,,,,
№ п/п,Назва,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,,,,,,🕓 швидко втрачає свій смак/вигляд ,
,Канапе/кростіні,,,,,,
27,"Брускета з песто, креветкою та томатом",45,,"125,00 грн.","0,00 грн.",,
28,"Брускета з трюфельним айолі, ростбіфом томатами",45,,"126,00 грн.","0,00 грн.",,
29,Брускета з курячим філе і сферою з манго,45,,"92,00 грн.","0,00 грн.",,
30,Брускета з хумусом та грибами,45,,"80,00 грн.","0,00 грн.",,
31,"Брускета з песто, індичкою та томатом",45,,"101,00 грн.","0,00 грн.",,
32,"Брускета з песто, салямі, моцарелою та в'яленим томатом.",45,,"104,00 грн.","0,00 грн.",,
33,Брускета з салатом Чука та креветкою,50,,"128,00 грн.","0,00 грн.",,
34,Брускета з горіхами та салатом Чука у кунжутному соусі,40,,"97,00 грн.","0,00 грн.",,🥜 Горіхи та продукти з них
35,Брускета з томатною сальсою та анчоусом,40,,"98,00 грн.","0,00 грн.",,
36,"Брускета з моцарелою, томатом та соусом песто",40,,"69,00 грн.","0,00 грн.",,
37,"Брускета з хамоном, манго та малиновим соусом у порційній ампулі",40,,"60,00 грн.","0,00 грн.",,
,Фуршетні закуски,,,,,,
1,Ніжне філе слабосолоного лосося на тості з цитрусовою ікрою,40,,"108,00 грн.","0,00 грн.",,
2,Рол з лосося та вершковим сиром,50,,"135,00 грн.","0,00 грн.",,
3,Сирна кулька із зеленню,35,,"80,00 грн.","0,00 грн.",,"🥜 Горіхи, 🌰 Часник та продукти з них"
4,Сирна кулька з паприкою,35,,"80,00 грн.","0,00 грн.",,"🥜 Горіхи, 🌰 Часник та продукти з них"
5,Сирна кулька з лососем,35,,"101,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
6,Сирна кулька з маринованими грибочками та морквою по-корейськи,35,,"94,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
7,Спрінг рол з лососем,50,,"114,00 грн.","0,00 грн.",,
8,Спрінг рол з креветкою,50,,"131,00 грн.","0,00 грн.",,
9,Спрінг рол з куркою та грибами,50,,"102,00 грн.","0,00 грн.",,🥜 Горіхи та продукти з них
10,Спрінг рол овочевий,50,,"98,00 грн.","0,00 грн.",,🥜 Горіхи та продукти з них
